source_district,target_district,best_lag_months,F_stat,p_value,significant,direction
29,68,2,34.9738,0.0,True,29→68
68,29,2,26.4576,0.0,True,68→29
29,94,2,7.1588,0.00155,True,29→94
94,29,2,26.898,0.0,True,94→29
29,141,2,23.5173,0.0,True,29→141
141,29,2,21.3193,0.0,True,141→29
29,142,2,21.9969,0.0,True,29→142
142,29,2,23.6714,0.0,True,142→29
29,143,2,19.3495,0.0,True,29→143
143,29,2,20.5975,0.0,True,143→29
29,145,2,41.3586,0.0,True,29→145
145,29,2,22.1712,0.0,True,145→29
29,147,2,22.6942,0.0,True,29→147
147,29,2,26.2932,0.0,True,147→29
29,148,2,26.7352,0.0,True,29→148
148,29,2,20.3719,0.0,True,148→29
29,149,2,23.4564,0.0,True,29→149
149,29,2,19.0562,0.0,True,149→29
30,31,2,18.3858,0.0,True,30→31
31,30,2,12.0454,4e-05,True,31→30
30,32,2,27.9343,0.0,True,30→32
32,30,2,17.5077,0.0,True,32→30
30,33,1,27.588,0.0,True,30→33
33,30,2,14.0887,1e-05,True,33→30
30,35,2,19.1482,0.0,True,30→35
35,30,2,11.4905,5e-05,True,35→30
30,39,2,18.293,0.0,True,30→39
39,30,2,14.1698,1e-05,True,39→30
30,40,2,23.9415,0.0,True,30→40
40,30,2,14.1686,1e-05,True,40→30
30,99,2,13.4192,1e-05,True,30→99
99,30,2,15.3962,0.0,True,99→30
31,32,1,40.4629,0.0,True,31→32
32,31,2,21.6524,0.0,True,32→31
31,33,1,28.0231,0.0,True,31→33
33,31,2,20.5671,0.0,True,33→31
31,34,2,17.126,0.0,True,31→34
34,31,2,25.6217,0.0,True,34→31
31,35,2,20.1146,0.0,True,31→35
35,31,2,21.7172,0.0,True,35→31
31,36,2,18.3702,0.0,True,31→36
36,31,2,19.8775,0.0,True,36→31
31,37,2,18.665,0.0,True,31→37
37,31,2,18.7445,0.0,True,37→31
31,38,2,18.9597,0.0,True,31→38
38,31,2,21.4005,0.0,True,38→31
31,39,2,16.8164,0.0,True,31→39
39,31,2,28.6028,0.0,True,39→31
31,40,2,24.2328,0.0,True,31→40
40,31,2,21.5097,0.0,True,40→31
32,33,2,18.787,0.0,True,32→33
33,32,1,44.0234,0.0,True,33→32
32,34,2,17.7352,0.0,True,32→34
34,32,1,39.9172,0.0,True,34→32
32,35,2,20.0886,0.0,True,32→35
35,32,2,29.1846,0.0,True,35→32
32,36,2,18.5722,0.0,True,32→36
36,32,2,31.3629,0.0,True,36→32
32,37,2,20.572,0.0,True,32→37
37,32,1,43.7856,0.0,True,37→32
32,38,2,22.3463,0.0,True,32→38
38,32,1,39.9083,0.0,True,38→32
32,39,2,16.8239,0.0,True,32→39
39,32,1,42.6709,0.0,True,39→32
32,40,2,21.657,0.0,True,32→40
40,32,2,26.5829,0.0,True,40→32
33,34,2,16.0419,0.0,True,33→34
34,33,1,26.187,0.0,True,34→33
33,35,2,18.6392,0.0,True,33→35
35,33,1,25.7985,0.0,True,35→33
33,36,2,18.0981,0.0,True,33→36
36,33,1,25.9904,0.0,True,36→33
33,37,2,17.1437,0.0,True,33→37
37,33,1,29.8418,0.0,True,37→33
33,38,2,18.8117,0.0,True,33→38
38,33,1,29.9497,0.0,True,38→33
33,39,2,19.0782,0.0,True,33→39
39,33,1,27.2446,0.0,True,39→33
33,40,2,21.7538,0.0,True,33→40
40,33,1,27.2695,0.0,True,40→33
34,35,2,19.5401,0.0,True,34→35
35,34,2,16.8459,0.0,True,35→34
34,36,2,17.779,0.0,True,34→36
36,34,2,16.4943,0.0,True,36→34
34,37,2,17.8886,0.0,True,34→37
37,34,2,16.9493,0.0,True,37→34
34,38,2,19.0585,0.0,True,34→38
38,34,2,12.5347,2e-05,True,38→34
34,39,3,12.8386,0.0,True,34→39
39,34,2,18.1917,0.0,True,39→34
34,40,2,24.6097,0.0,True,34→40
40,34,2,18.2614,0.0,True,40→34
34,45,1,20.8993,2e-05,True,34→45
45,34,2,16.6796,0.0,True,45→34
34,46,2,18.0988,0.0,True,34→46
46,34,2,17.602,0.0,True,46→34
34,47,4,15.8761,0.0,True,34→47
47,34,2,15.4528,0.0,True,47→34
34,48,2,20.2594,0.0,True,34→48
48,34,2,15.1426,0.0,True,48→34
34,49,2,14.2459,1e-05,True,34→49
49,34,2,16.9611,0.0,True,49→34
34,50,2,23.3338,0.0,True,34→50
50,34,2,16.5062,0.0,True,50→34
35,36,2,16.2553,0.0,True,35→36
36,35,2,18.1032,0.0,True,36→35
35,37,2,14.9069,0.0,True,35→37
37,35,2,17.0903,0.0,True,37→35
35,38,2,18.2695,0.0,True,35→38
38,35,2,18.4106,0.0,True,38→35
35,39,2,17.5052,0.0,True,35→39
39,35,2,22.3127,0.0,True,39→35
35,40,2,24.9968,0.0,True,35→40
40,35,2,18.1524,0.0,True,40→35
35,49,2,17.749,0.0,True,35→49
49,35,2,19.5481,0.0,True,49→35
35,50,2,20.1927,0.0,True,35→50
50,35,2,19.4535,0.0,True,50→35
36,37,2,19.3199,0.0,True,36→37
37,36,2,15.1314,0.0,True,37→36
36,38,2,19.28,0.0,True,36→38
38,36,2,18.1898,0.0,True,38→36
36,39,2,16.9392,0.0,True,36→39
