state,district_name,population,literate_pop,working_pop,urban_percentage,literacy_rate,district_id
Gujarat,Unknown Districts Of India,14022.0,3710.0,4181.0,0.0,26.5,179
Gujarat,Valsad,1329804.0,772145.0,618288.0,22.7,58.1,180
Haryana,Ambala,997690.0,651796.0,319710.0,35.8,65.3,181
Haryana,Bhiwani,974348.0,545297.0,396076.0,23.1,56.0,182
Haryana,Charki Dadri,450674.0,264599.0,213244.0,10.0,58.7,183
Haryana,Faridabad,1365465.0,876971.0,448694.0,77.8,64.2,184
Haryana,Fatehabad,806158.0,392178.0,362975.0,17.6,48.6,185
Haryana,Gurugram,698539.0,456832.0,262706.0,38.9,65.4,186
Haryana,Hisar,1537117.0,842302.0,665572.0,25.9,54.8,187
Haryana,Jhajjar,874893.0,538077.0,387090.0,21.7,61.5,188
Haryana,Jind,1175054.0,616589.0,514470.0,20.6,52.5,189
Haryana,Kaithal,960904.0,478628.0,379487.0,19.1,49.8,190
Haryana,Karnal,1273965.0,732482.0,455374.0,26.5,57.5,191
Haryana,Kurukshetra,825454.0,494873.0,308392.0,26.1,60.0,192
Haryana,Mahendragarh,812521.0,478296.0,351864.0,13.5,58.9,193
Haryana,Nuh,785594.0,254897.0,303731.0,7.5,32.4,194
Haryana,Palwal,829121.0,392830.0,337068.0,19.2,47.4,195
Haryana,Panchkula,438699.0,278781.0,165795.0,47.5,63.5,196
Haryana,Panipat,967667.0,559605.0,382882.0,40.5,57.8,197
Haryana,Rewari,760897.0,485204.0,332396.0,17.3,63.8,198
Haryana,Rohtak,933679.0,588260.0,368945.0,35.3,63.0,199
Haryana,Sirsa,1116649.0,574624.0,475571.0,26.3,51.5,200
Haryana,Sonipat,1279175.0,788105.0,523031.0,25.1,61.6,201
Haryana,Unknown Districts Of India,14216.0,10967.0,4994.0,0.0,77.1,202
Haryana,Yamunanagar,1041630.0,638711.0,336533.0,37.7,61.3,203
Himachal Pradesh,Bilaspur,340885.0,231733.0,166708.0,6.4,68.0,204
Himachal Pradesh,Chamba,460887.0,246169.0,230452.0,7.5,53.4,205
Himachal Pradesh,Hamirpur,412700.0,298498.0,205405.0,7.3,72.3,206
Himachal Pradesh,Kangra,1333796.0,936123.0,587328.0,5.0,70.2,207
Himachal Pradesh,Kinnaur,78334.0,51913.0,47811.0,0.0,66.3,208
Himachal Pradesh,Kullu,381571.0,239649.0,216513.0,7.9,62.8,209
Himachal Pradesh,Lahul And Spiti,33224.0,21609.0,21088.0,0.0,65.0,210
Himachal Pradesh,Mandi,901344.0,587884.0,454292.0,6.8,65.2,211
Himachal Pradesh,Shimla,722502.0,504330.0,370223.0,23.1,69.8,212
Himachal Pradesh,Sirmaur,458593.0,274643.0,225872.0,10.4,59.9,213
Himachal Pradesh,Solan,500375.0,332271.0,263333.0,18.2,66.4,214
Himachal Pradesh,Una,448273.0,312278.0,201658.0,8.8,69.7,215
Jammu And Kashmir,Anantnag,681900.0,262460.0,239175.0,9.4,38.5,216
Jammu And Kashmir,Bandipora,304886.0,99372.0,107914.0,15.2,32.6,217
Jammu And Kashmir,Baramulla,843951.0,339415.0,256643.0,17.8,40.2,218
Jammu And Kashmir,Budgam,576750.0,201351.0,208707.0,8.5,34.9,219
Jammu And Kashmir,Doda,320256.0,141907.0,149174.0,6.8,44.3,220
Jammu And Kashmir,Ganderbal,214884.0,73089.0,67320.0,6.4,34.0,221
Jammu And Kashmir,Jammu,1349079.0,917524.0,453211.0,47.1,68.0,222
Jammu And Kashmir,Kathua,511455.0,282210.0,195354.0,15.4,55.2,223
Jammu And Kashmir,Kishtwar,190843.0,68942.0,93178.0,7.8,36.1,224
Jammu And Kashmir,Kulgam,359294.0,130584.0,114435.0,3.7,36.3,225
Jammu And Kashmir,Kupwara,650393.0,232557.0,212501.0,3.9,35.8,226
Jammu And Kashmir,Poonch,372613.0,156398.0,201100.0,6.4,42.0,227
Jammu And Kashmir,Pulwama,441275.0,201349.0,150495.0,12.7,45.6,228
Jammu And Kashmir,Rajouri,483284.0,234228.0,218212.0,7.0,48.5,229
Jammu And Kashmir,Ramban,214944.0,75916.0,94054.0,5.1,35.3,230
Jammu And Kashmir,Reasi,247694.0,99900.0,124877.0,8.2,40.3,231
Jammu And Kashmir,Samba,267410.0,170490.0,81751.0,24.4,63.8,232
Jammu And Kashmir,Shopian,211332.0,80169.0,62104.0,5.8,37.9,233
