Country,State,Year,City Name,Location Name,"Number Of Monitoring Days (UOM:Number), Scaling Factor:1","Minimum Concentration Of Nitrogen Dioxide (No2) (24-Hourly Average) (UOM:µg/m³(Microgrampercubicmeter)), Scaling Factor:1","Maximum Concentration Of Nitrogen Dioxide (No2) (24-Hourly Average) (UOM:µg/m³(Microgrampercubicmeter)), Scaling Factor:1","Concentration Of Nitrogen Dioxide (No2) (Annual Average) (UOM:µg/m³(Microgrampercubicmeter)), Scaling Factor:1"
India,Rajasthan,"Calendar Year (Jan - Dec), 2017",Bharatpur,Khadi Gramoday Samiti,100.0,21.0,84.0,29.0
India,Rajasthan,"Calendar Year (Jan - Dec), 2017",Bharatpur,RIICO office Building,98.0,18.0,36.0,26.0
India,Rajasthan,"Calendar Year (Jan - Dec), 2017",Bharatpur,"RO, Building",102.0,16.0,34.0,24.0
India,Rajasthan,"Calendar Year (Jan - Dec), 2017",Bhiwadi,R.O.Building,94.0,23.0,32.0,27.0
India,Rajasthan,"Calendar Year (Jan - Dec), 2017",Bhiwadi,UIT Guest House,87.0,18.0,34.0,27.0
India,Rajasthan,"Calendar Year (Jan - Dec), 2017",Bhiwadi,Uttam Strips Ltd,98.0,23.0,41.0,27.0
India,Rajasthan,"Calendar Year (Jan - Dec), 2017",Jaipur,"22,Godam, RIICO Office",105.0,14.0,45.0,28.0
India,Rajasthan,"Calendar Year (Jan - Dec), 2017",Jaipur,Ajmeri Gate,105.0,13.0,54.0,32.0
India,Rajasthan,"Calendar Year (Jan - Dec), 2017",Jaipur,"District Education Officer, Chandpole",105.0,13.0,61.0,33.0
India,Rajasthan,"Calendar Year (Jan - Dec), 2017",Jaipur,Mansarovar Nagar Niigam,52.0,14.0,42.0,26.0
India,Rajasthan,"Calendar Year (Jan - Dec), 2017",Jaipur,RIICO Office Sitapura Industrial Area,115.0,13.0,419.0,36.0
India,Rajasthan,"Calendar Year (Jan - Dec), 2017",Jaipur,"RIICO Office, M.I.A.",105.0,12.0,52.0,29.0
India,Rajasthan,"Calendar Year (Jan - Dec), 2017",Jaipur,"RJPB Office,Jhalana Doongari",104.0,13.0,49.0,30.0
India,Rajasthan,"Calendar Year (Jan - Dec), 2017",Jaipur,"RSPCB, Vidyadhar Nagar",103.0,14.0,56.0,33.0
India,Rajasthan,"Calendar Year (Jan - Dec), 2017",Jaipur,VKIA,104.0,14.0,64.0,33.0
India,Rajasthan,"Calendar Year (Jan - Dec), 2017",Jodhpur,"Basni Industrial Area, RIICO Office",99.0,10.0,51.0,24.0
India,Rajasthan,"Calendar Year (Jan - Dec), 2017",Jodhpur,"DIC Office, Industrial Estate",99.0,9.0,49.0,23.0
India,Rajasthan,"Calendar Year (Jan - Dec), 2017",Jodhpur,Kudi Mahila Thana,47.0,9.0,39.0,17.0
India,Rajasthan,"Calendar Year (Jan - Dec), 2017",Jodhpur,Maha Mandir Police Thane,103.0,9.0,43.0,21.0
India,Rajasthan,"Calendar Year (Jan - Dec), 2017",Jodhpur,"Office of Housing Board, Chopasani Road",96.0,9.0,40.0,21.0
India,Rajasthan,"Calendar Year (Jan - Dec), 2017",Jodhpur,Sangariya Police Choki,48.0,9.0,41.0,18.0
India,Rajasthan,"Calendar Year (Jan - Dec), 2017",Jodhpur,Shastri Nagar Police Thana,99.0,10.0,46.0,23.0
India,Rajasthan,"Calendar Year (Jan - Dec), 2017",Jodhpur,Sojati Gate,75.0,9.0,46.0,26.0
India,Rajasthan,"Calendar Year (Jan - Dec), 2017",Jodhpur,SoorsagarThana,47.0,9.0,24.0,17.0
India,Rajasthan,"Calendar Year (Jan - Dec), 2017",Kota,FireStation Nagar Nigam Shrinathpuram,68.0,14.0,36.0,28.0
India,Rajasthan,"Calendar Year (Jan - Dec), 2017",Kota,Municipal Corporation Building,98.0,17.0,41.0,29.0
India,Rajasthan,"Calendar Year (Jan - Dec), 2017",Kota,"RajasthanTechnical University,Rawatbhata",67.0,14.0,43.0,28.0
India,Rajasthan,"Calendar Year (Jan - Dec), 2017",Kota,"Regional Office, RJPB, Anantpura",101.0,10.0,44.0,29.0
India,Rajasthan,"Calendar Year (Jan - Dec), 2017",Kota,Samcore Glass Ltd.,96.0,15.0,36.0,25.0
India,Rajasthan,"Calendar Year (Jan - Dec), 2017",Kota,"Sewage Treatment Plant, Balita, Kota",68.0,15.0,48.0,29.0
India,Rajasthan,"Calendar Year (Jan - Dec), 2017",Udaipur,Ambamata,101.0,17.0,42.0,26.0
India,Rajasthan,"Calendar Year (Jan - Dec), 2017",Udaipur,"Regional Office,MIA",106.0,27.0,49.0,39.0
India,Rajasthan,"Calendar Year (Jan - Dec), 2017",Udaipur,Town Hall,105.0,16.0,54.0,35.0
India,Sikkim,"Calendar Year (Jan - Dec), 2017",Chungthang,Chungthang,55.0,2.0,10.0,5.0
India,Sikkim,"Calendar Year (Jan - Dec), 2017",Gangtok,"Metro Point Hospital Complex, Forest Secretariate Deorali",64.0,1.0,9.0,4.0
India,Sikkim,"Calendar Year (Jan - Dec), 2017",Mangan,Mangan Police Station,61.0,5.0,6.0,5.0
India,Sikkim,"Calendar Year (Jan - Dec), 2017",Namchi,Namchi,60.0,5.0,5.0,5.0
India,Sikkim,"Calendar Year (Jan - Dec), 2017",Pelling,The Pelling Girls Hostel,64.0,1.0,9.0,3.0
India,Sikkim,"Calendar Year (Jan - Dec), 2017",Rangpo,Rangpo Fire Station,90.0,1.0,12.0,5.0
India,Sikkim,"Calendar Year (Jan - Dec), 2017",Ravangla,Ravangla Range Office,63.0,1.0,5.0,4.0
India,Sikkim,"Calendar Year (Jan - Dec), 2017",Singtam,Police Station Building,90.0,1.0,8.0,4.0
India,Tamil Nadu,"Calendar Year (Jan - Dec), 2017",Chennai,Adiyar,92.0,8.0,17.0,13.0
India,Tamil Nadu,"Calendar Year (Jan - Dec), 2017",Chennai,Anna Nagar,91.0,9.0,20.0,16.0
India,Tamil Nadu,"Calendar Year (Jan - Dec), 2017",Chennai,"Govt. High School, Manali",92.0,12.0,21.0,16.0
India,Tamil Nadu,"Calendar Year (Jan - Dec), 2017",Chennai,Kathivakkam,99.0,11.0,19.0,15.0
India,Tamil Nadu,"Calendar Year (Jan - Dec), 2017",Chennai,Kilpauk,98.0,14.0,25.0,17.0
India,Tamil Nadu,"Calendar Year (Jan - Dec), 2017",Chennai,Madras Medical College,92.0,5.0,78.0,21.0
India,Tamil Nadu,"Calendar Year (Jan - Dec), 2017",Chennai,"NEERI, CSIR CampusTaramani",90.0,5.0,126.0,19.0
India,Tamil Nadu,"Calendar Year (Jan - Dec), 2017",Chennai,Thiruvottiyur,94.0,12.0,19.0,15.0
India,Tamil Nadu,"Calendar Year (Jan - Dec), 2017",Chennai,Thiruvottiyur Municipal Office,90.0,5.0,153.0,24.0
India,Tamil Nadu,"Calendar Year (Jan - Dec), 2017",Chennai,Thiyagaraya Nagar,84.0,13.0,28.0,18.0
India,Tamil Nadu,"Calendar Year (Jan - Dec), 2017",Coimbatore,G.D.Matric Hr.Sec.School,97.0,14.0,38.0,25.0
India,Tamil Nadu,"Calendar Year (Jan - Dec), 2017",Coimbatore,"Poniarajapuram, On the top of DEL",95.0,12.0,80.0,25.0
India,Tamil Nadu,"Calendar Year (Jan - Dec), 2017",Coimbatore,"SIDCO Office, Coimbatore/ Kurichi",96.0,11.0,43.0,27.0
India,Tamil Nadu,"Calendar Year (Jan - Dec), 2017",Cuddalore,"DEE Office, Cuddalore",102.0,13.0,31.0,18.0
India,Tamil Nadu,"Calendar Year (Jan - Dec), 2017",Cuddalore,Eachangadu Village,101.0,12.0,22.0,17.0
India,Tamil Nadu,"Calendar Year (Jan - Dec), 2017",Cuddalore,SIPCOT (Project Office),99.0,11.0,21.0,17.0
India,Tamil Nadu,"Calendar Year (Jan - Dec), 2017",Madurai,Fenner (I) Ltd. Kochadai,94.0,19.0,44.0,24.0
India,Tamil Nadu,"Calendar Year (Jan - Dec), 2017",Madurai,Highway (Project I) Building,95.0,13.0,24.0,17.0
India,Tamil Nadu,"Calendar Year (Jan - Dec), 2017",Madurai,Kunnathur Chatram Avvai Girls HS School,97.0,18.0,37.0,27.0
India,Tamil Nadu,"Calendar Year (Jan - Dec), 2017",Mettur,Raman Nagar,109.0,15.0,33.0,20.0
India,Tamil Nadu,"Calendar Year (Jan - Dec), 2017",Mettur,SIDCO,107.0,15.0,58.0,24.0
India,Tamil Nadu,"Calendar Year (Jan - Dec), 2017",Salem,Sowdeswari College Building,140.0,20.0,43.0,25.0
India,Tamil Nadu,"Calendar Year (Jan - Dec), 2017",Trichy,Bishop Heber College,96.0,12.0,36.0,17.0
India,Tamil Nadu,"Calendar Year (Jan - Dec), 2017",Trichy,Central Bus Stand,96.0,14.0,25.0,21.0
India,Tamil Nadu,"Calendar Year (Jan - Dec), 2017",Trichy,Gandhi Market,97.0,17.0,25.0,21.0
India,Tamil Nadu,"Calendar Year (Jan - Dec), 2017",Trichy,Golden Rock,93.0,12.0,21.0,18.0
India,Tamil Nadu,"Calendar Year (Jan - Dec), 2017",Trichy,Main Guard Gate,95.0,16.0,27.0,21.0
India,Tamil Nadu,"Calendar Year (Jan - Dec), 2017",Tuticorin,AVM Jewellery Building,100.0,9.0,19.0,13.0
India,Tamil Nadu,"Calendar Year (Jan - Dec), 2017",Tuticorin,"Fisheries College, Tuticorin Sipcot",98.0,7.0,30.0,13.0
India,Tamil Nadu,"Calendar Year (Jan - Dec), 2017",Tuticorin,Raja Agencies,97.0,6.0,29.0,14.0
India,Telangana,"Calendar Year (Jan - Dec), 2017",Adilabad,"Building of SCCL Manadamarri Club Mandamarri, Adilabad",91.0,17.0,23.0,20.0
India,Telangana,"Calendar Year (Jan - Dec), 2017",Hyderabad,ABIDS Circle General Post Office,85.0,5.0,45.0,19.0
India,Telangana,"Calendar Year (Jan - Dec), 2017",Hyderabad,Balanagar,107.0,20.0,77.0,37.0
India,Telangana,"Calendar Year (Jan - Dec), 2017",Hyderabad,Charminar,99.0,19.0,45.0,29.0
India,Telangana,"Calendar Year (Jan - Dec), 2017",Hyderabad,"Jeedimetla Industrial Estate, Rangareddy Distt.",107.0,18.0,63.0,31.0
India,Telangana,"Calendar Year (Jan - Dec), 2017",Hyderabad,Jublee Hills,107.0,11.0,53.0,28.0
India,Telangana,"Calendar Year (Jan - Dec), 2017",Hyderabad,"Nacharam, Industrial Estate",90.0,5.0,40.0,14.0
India,Telangana,"Calendar Year (Jan - Dec), 2017",Hyderabad,Paradise,98.0,22.0,71.0,39.0
India,Telangana,"Calendar Year (Jan - Dec), 2017",Hyderabad,"Tarnaka, NEERI Lab. IICT Campus",89.0,5.0,36.0,14.0
India,Telangana,"Calendar Year (Jan - Dec), 2017",Hyderabad,"Uppal, Modern Foods & Industries IDA",108.0,18.0,69.0,34.0
India,Telangana,"Calendar Year (Jan - Dec), 2017",Hyderabad,Zoo Park,94.0,10.0,112.0,41.0
India,Telangana,"Calendar Year (Jan - Dec), 2017",Karimnagar,"On the terrace of the DIC building, Karimnagar",87.0,14.0,71.0,25.0
India,Telangana,"Calendar Year (Jan - Dec), 2017",Khammam,Jalasoudha building,95.0,11.0,33.0,24.0
India,Telangana,"Calendar Year (Jan - Dec), 2017",Khammam,Station Name: CER Club Khamam,78.0,15.0,35.0,25.0
India,Telangana,"Calendar Year (Jan - Dec), 2017",Kothur,Mehaboobnagar,92.0,12.0,46.0,29.0
India,Telangana,"Calendar Year (Jan - Dec), 2017",Nalgonda,AP PCB Nalgonda,87.0,21.0,26.0,23.0
India,Telangana,"Calendar Year (Jan - Dec), 2017",Nalgonda,M/s. Srini Pharmaceuticals pvt. Ltd.Choutuppal (V & M),84.0,20.0,29.0,25.0
India,Telangana,"Calendar Year (Jan - Dec), 2017",Nizamabad,"subashnagar,nizamabad dist",87.0,18.0,22.0,21.0
India,Telangana,"Calendar Year (Jan - Dec), 2017",Patencheru,"Police Station, Medak, Ramachadrapuram",104.0,21.0,27.0,24.0
India,Telangana,"Calendar Year (Jan - Dec), 2017",Ramagundam,"Godavarikhani, Ramagundam, Karimnagar",80.0,11.0,42.0,26.0
India,Telangana,"Calendar Year (Jan - Dec), 2017",Sangareddy,"M/s. Mylan Industries, Gaddapothara",97.0,19.0,26.0,23.0
India,Telangana,"Calendar Year (Jan - Dec), 2017",Sangareddy,Pashamylaram/Municipal Office,98.0,21.0,104.0,45.0
India,Telangana,"Calendar Year (Jan - Dec), 2017",Sangareddy,Regional office Building of SANGAREDDY,96.0,20.0,25.0,22.0
India,Telangana,"Calendar Year (Jan - Dec), 2017",Warangal,"KUDA Office, Hanumakonda",93.0,12.0,29.0,24.0
India,Telangana,"Calendar Year (Jan - Dec), 2017",Warangal,"MeeSeva Building ,Municipal Complex",97.0,12.0,51.0,26.0
India,The Dadra And Nagar Haveli And Daman And Diu,"Calendar Year (Jan - Dec), 2017",Daman,"Kadaiya Industrial Area, Kadaiya",95.000000000000000000000,12.000000000000000000000,38.000000000000000000000,25.000000000000000000000
India,The Dadra And Nagar Haveli And Daman And Diu,"Calendar Year (Jan - Dec), 2017",Daman,Makat Faliya/ Ambavadi Moti Daman,95.000000000000000000000,12.000000000000000000000,31.000000000000000000000,23.000000000000000000000
India,The Dadra And Nagar Haveli And Daman And Diu,"Calendar Year (Jan - Dec), 2017",Daman,"Mashal Chawk, Nani Daman",94.000000000000000000000,12.000000000000000000000,44.000000000000000000000,23.000000000000000000000
India,The Dadra And Nagar Haveli And Daman And Diu,"Calendar Year (Jan - Dec), 2017",Silvassa,"Chetan Guest House, Near Post Office",95.000000000000000000000,12.000000000000000000000,34.000000000000000000000,24.000000000000000000000
India,The Dadra And Nagar Haveli And Daman And Diu,"Calendar Year (Jan - Dec), 2017",Silvassa,"Khadoli Industrial Area, Khadoli",95.000000000000000000000,18.000000000000000000000,32.000000000000000000000,24.000000000000000000000
India,The Dadra And Nagar Haveli And Daman And Diu,"Calendar Year (Jan - Dec), 2017",Silvassa,"M/s. Baldevi, Dandul Faliya",95.000000000000000000000,14.000000000000000000000,30.000000000000000000000,23.000000000000000000000
India,Tripura,"Calendar Year (Jan - Dec), 2017",Agartala,"Bordowali Bipani Bitan, Agartala MC, Bordowali, Near Nagerjala",69.0,6.0,48.0,20.0
India,Tripura,"Calendar Year (Jan - Dec), 2017",Agartala,"SPCB, Pavivesh Bhawan, Pandit Nehru Complex, Gorkhabasti, Kunjaban",69.0,6.0,30.0,14.0
India,Uttar Pradesh,"Calendar Year (Jan - Dec), 2017",Agra,DIC Nunhai,84.0,5.0,52.0,24.0
India,Uttar Pradesh,"Calendar Year (Jan - Dec), 2017",Agra,Etmaduddaulah,81.0,5.0,52.0,22.0
India,Uttar Pradesh,"Calendar Year (Jan - Dec), 2017",Agra,Nunhai,97.0,10.0,40.0,17.0
India,Uttar Pradesh,"Calendar Year (Jan - Dec), 2017",Agra,Rambagh,75.0,5.0,53.0,23.0
India,Uttar Pradesh,"Calendar Year (Jan - Dec), 2017",Agra,"Regional Office, Bodla",89.0,6.0,31.0,13.0
India,Uttar Pradesh,"Calendar Year (Jan - Dec), 2017",Agra,Taj Mahal,245.0,5.0,57.0,16.0
India,Uttar Pradesh,"Calendar Year (Jan - Dec), 2017",Allahabad,Alopibagh/Sewage Pumping Stations,113.0,22.0,93.0,48.0
India,Uttar Pradesh,"Calendar Year (Jan - Dec), 2017",Allahabad,Bharat Yantra Nigam Ltd,99.0,7.0,60.0,24.0
India,Uttar Pradesh,"Calendar Year (Jan - Dec), 2017",Allahabad,Jhonstonganj/cooperative Bank,115.0,20.0,98.0,53.0
India,Uttar Pradesh,"Calendar Year (Jan - Dec), 2017",Allahabad,Rambagh/Parag Dairy,112.0,16.0,79.0,43.0
India,Uttar Pradesh,"Calendar Year (Jan - Dec), 2017",Allahabad,Square crossing circle of Laxmi Talkies,106.0,11.0,84.0,34.0
India,Uttar Pradesh,"Calendar Year (Jan - Dec), 2017",Anpara,"Anpara Colony, Sonabhadra",81.0,23.0,40.0,32.0
India,Uttar Pradesh,"Calendar Year (Jan - Dec), 2017",Anpara,"Renusagar Colony, Sonabhadra",81.0,20.0,38.0,31.0
India,Uttar Pradesh,"Calendar Year (Jan - Dec), 2017",Bareily,IVRI Izatnaga,53.0,18.0,26.0,21.0
India,Uttar Pradesh,"Calendar Year (Jan - Dec), 2017",Bareily,"Indian oetrol pump, Civil Line",51.0,20.0,31.0,22.0
India,Uttar Pradesh,"Calendar Year (Jan - Dec), 2017",Firozabad,Center for Development of Glass Industry,62.0,28.0,39.0,32.0
India,Uttar Pradesh,"Calendar Year (Jan - Dec), 2017",Firozabad,Raza ka Tal,61.0,27.0,37.0,33.0
India,Uttar Pradesh,"Calendar Year (Jan - Dec), 2017",Firozabad,Tilak Nagar,61.0,0.0,36.0,31.0
India,Uttar Pradesh,"Calendar Year (Jan - Dec), 2017",Gajraula,"Indira Chowk, J.P. Nagar",95.0,12.0,58.0,39.0
India,Uttar Pradesh,"Calendar Year (Jan - Dec), 2017",Gajraula,"Raunaq Auto Ltd, J.P. Nagar",96.0,10.0,50.0,32.0
India,Uttar Pradesh,"Calendar Year (Jan - Dec), 2017",Ghaziabad,"Atlas Cycles Industries, Sahibabad Ind. area",69.0,14.0,56.0,35.0
India,Uttar Pradesh,"Calendar Year (Jan - Dec), 2017",Ghaziabad,Bulandshaar Road Industrial Area,54.0,16.0,56.0,33.0
India,Uttar Pradesh,"Calendar Year (Jan - Dec), 2017",Gorakpur,"India Glycol Ltd. Gida, Gorakhpur",50.0,51.0,56.0,54.0
India,Uttar Pradesh,"Calendar Year (Jan - Dec), 2017",Gorakpur,"Jalkal, Muncipal Corporation, Golghar",50.0,40.0,47.0,44.0
India,Uttar Pradesh,"Calendar Year (Jan - Dec), 2017",Gorakpur,"M. M.M. Engineering College, Gorakhpur",50.0,18.0,21.0,19.0
India,Uttar Pradesh,"Calendar Year (Jan - Dec), 2017",Jhansi,Manik Chawk / Jal chauraha,103.0,15.0,34.0,20.0
India,Uttar Pradesh,"Calendar Year (Jan - Dec), 2017",Jhansi,Veeranga Nagar,103.0,13.0,31.0,18.0
India,Uttar Pradesh,"Calendar Year (Jan - Dec), 2017",Kanpur,"Associated Chem Pvt Ltd, Fazalganj, Panki, Site5",78.0,42.0,70.0,51.0
India,Uttar Pradesh,"Calendar Year (Jan - Dec), 2017",Kanpur,Chamber Of Commerce Darshanpurwa/ Deputy ka Parao,90.0,43.0,64.0,51.0
India,Uttar Pradesh,"Calendar Year (Jan - Dec), 2017",Kanpur,Dabauli / Shastri NGR,78.0,38.0,61.0,49.0
India,Uttar Pradesh,"Calendar Year (Jan - Dec), 2017",Kanpur,"Dada Nagar, Kanpur",92.0,24.0,105.0,47.0
India,Uttar Pradesh,"Calendar Year (Jan - Dec), 2017",Kanpur,"Forest & Training Centre, Kidwai Nagar",61.0,40.0,56.0,52.0
India,Uttar Pradesh,"Calendar Year (Jan - Dec), 2017",Kanpur,"I.I.T. Campus, Kanpur",98.0,8.0,26.0,17.0
India,Uttar Pradesh,"Calendar Year (Jan - Dec), 2017",Kanpur,Jajmau / Awas Vikas,85.0,40.0,64.0,52.0
India,Uttar Pradesh,"Calendar Year (Jan - Dec), 2017",Kanpur,"Ramadevi, Kanpur",69.0,25.0,80.0,42.0
India,Uttar Pradesh,"Calendar Year (Jan - Dec), 2017",Khurja,Ahirpara,96.0,19.0,24.0,21.0
India,Uttar Pradesh,"Calendar Year (Jan - Dec), 2017",Khurja,Central Glass & Ceramic Research Institute,94.0,18.0,26.0,22.0
India,Uttar Pradesh,"Calendar Year (Jan - Dec), 2017",Lucknow,Aminabad / S.M.K Chowk,77.0,15.0,39.0,27.0
India,Uttar Pradesh,"Calendar Year (Jan - Dec), 2017",Lucknow,"Ansal Technical Institute Campus, Ansal API",56.0,15.0,31.0,24.0
India,Uttar Pradesh,"Calendar Year (Jan - Dec), 2017",Lucknow,"Chandganj Garden, Aliganj",69.0,17.0,35.0,25.0
India,Uttar Pradesh,"Calendar Year (Jan - Dec), 2017",Lucknow,"Kapoor Hotel, Hazratganj",64.0,16.0,50.0,27.0
India,Uttar Pradesh,"Calendar Year (Jan - Dec), 2017",Lucknow,Mahanagar,53.0,15.0,44.0,26.0
India,Uttar Pradesh,"Calendar Year (Jan - Dec), 2017",Lucknow,Nagar Nigam,70.0,16.0,37.0,26.0
India,Uttar Pradesh,"Calendar Year (Jan - Dec), 2017",Lucknow,Talkatora,54.0,13.0,68.0,28.0
India,Uttar Pradesh,"Calendar Year (Jan - Dec), 2017",Lucknow,Vikas Khand,74.0,7.0,82.0,25.0
India,Uttar Pradesh,"Calendar Year (Jan - Dec), 2017",Mathura,"CETP, Industrial Area, Mathura",35.0,19.0,36.0,26.0
India,Uttar Pradesh,"Calendar Year (Jan - Dec), 2017",Mathura,"RO. UPPCB, 65 Baldevpuri, Maholi Road",35.0,18.0,31.0,24.0
India,Uttar Pradesh,"Calendar Year (Jan - Dec), 2017",Meerut,Begum Bridge,54.0,53.0,74.0,63.0
India,Uttar Pradesh,"Calendar Year (Jan - Dec), 2017",Meerut,Thana Railway Road / Kesarganj,54.0,32.0,69.0,40.0
India,Uttar Pradesh,"Calendar Year (Jan - Dec), 2017",Moradabad,"Central Police Hospital, Civil Lines",87.0,10.0,41.0,28.0
India,Uttar Pradesh,"Calendar Year (Jan - Dec), 2017",Moradabad,"Hindu College, Station Road",85.0,12.0,56.0,42.0
India,Uttar Pradesh,"Calendar Year (Jan - Dec), 2017",Noida,GeePee Electroplating and Eng. Work,85.0,19.0,81.0,37.0
India,Uttar Pradesh,"Calendar Year (Jan - Dec), 2017",Noida,"UP PPCB, E12/1, Sector  1",89.0,16.0,63.0,39.0
India,Uttar Pradesh,"Calendar Year (Jan - Dec), 2017",Raebareli,Amawan Road Ind. Area Raebareli,75.0,15.0,18.0,17.0
India,Uttar Pradesh,"Calendar Year (Jan - Dec), 2017",Raebareli,Khoya mandi Tiraha Lucknow Road Raebareli,74.0,17.0,21.0,19.0
India,Uttar Pradesh,"Calendar Year (Jan - Dec), 2017",Raebareli,"Town Hall Colony, Ahmad Nagar, Gulab Road",74.0,13.0,41.0,16.0
India,Uttar Pradesh,"Calendar Year (Jan - Dec), 2017",Saharanpur,"SREA, IIT Roorkee, Saharanpur Campus",64.0,24.0,32.0,28.0
India,Uttar Pradesh,"Calendar Year (Jan - Dec), 2017",Saharanpur,"UPCL S.E. Office, Near Clock Tower",64.0,26.0,35.0,30.0
India,Uttar Pradesh,"Calendar Year (Jan - Dec), 2017",Unnao,"H. No. 5, Krishna Nagar",95.0,19.0,31.0,28.0
India,Uttar Pradesh,"Calendar Year (Jan - Dec), 2017",Unnao,"IIA Building, Industrial Area, Site 10",94.0,27.0,76.0,30.0
India,Uttar Pradesh,"Calendar Year (Jan - Dec), 2017",Varanasi,BHU,62.0,17.0,48.0,31.0
India,Uttar Pradesh,"Calendar Year (Jan - Dec), 2017",Varanasi,Chandpur,60.0,28.0,58.0,42.0
India,Uttar Pradesh,"Calendar Year (Jan - Dec), 2017",Varanasi,"Regional Office, Jawahar Nagar",95.0,9.0,105.0,40.0
India,Uttar Pradesh,"Calendar Year (Jan - Dec), 2017",Varanasi,Saket Nagar,62.0,23.0,50.0,35.0
India,Uttar Pradesh,"Calendar Year (Jan - Dec), 2017",Varanasi,Sigra,83.0,9.0,104.0,40.0
India,Uttarakhand,"Calendar Year (Jan - Dec), 2017",Asansol,Asansol Municipal Corporation,104.0,16.0,49.0,37.0
India,Uttarakhand,"Calendar Year (Jan - Dec), 2017",Asansol,"Burnpur Town Department, Burnpur",104.0,18.0,48.0,37.0
India,Uttarakhand,"Calendar Year (Jan - Dec), 2017",Asansol,"Kangsabati Spinning Mill, Barjora",104.0,16.0,47.0,37.0
India,Uttarakhand,"Calendar Year (Jan - Dec), 2017",Baharampur,Md. Mozzammal Hossain's House,104.0,40.0,60.0,48.0
India,Uttarakhand,"Calendar Year (Jan - Dec), 2017",Balurghat,Balurghar College,104.0,13.0,109.0,23.0
India,Uttarakhand,"Calendar Year (Jan - Dec), 2017",Bankura,Bankura Municipility,104.0,14.0,28.0,20.0
India,Uttarakhand,"Calendar Year (Jan - Dec), 2017",Barasat,"Barasat Municipility, 73 Rishi Bankim Chandra Road",104.0,21.0,71.0,47.0
India,Uttarakhand,"Calendar Year (Jan - Dec), 2017",Barrackpore,Barrackpore Municiaplity,104.0,26.0,59.0,47.0
India,Uttarakhand,"Calendar Year (Jan - Dec), 2017",Barrackpore,Dum Dum Telephone Exchange,104.0,34.0,65.0,45.0
India,Uttarakhand,"Calendar Year (Jan - Dec), 2017",Barrackpore,Khardah Municipality,104.0,22.0,68.0,48.0
India,Uttarakhand,"Calendar Year (Jan - Dec), 2017",Bolpur,Bolpur Municipility,104.0,13.0,27.0,20.0
India,Uttarakhand,"Calendar Year (Jan - Dec), 2017",Chinsura,"Chinsura Municipility, Pipulpati Auto Stand",104.0,23.0,64.0,40.0
India,Uttarakhand,"Calendar Year (Jan - Dec), 2017",Coochbehar,ABM Seal College,104.0,13.0,23.0,17.0
India,Uttarakhand,"Calendar Year (Jan - Dec), 2017",Coochbehar,"Uttarbanga Krishi Visvavidyalaya, Pundibari",103.0,13.0,21.0,17.0
India,Uttarakhand,"Calendar Year (Jan - Dec), 2017",Dankuni,"Krishnanagar Municipility, Dankuni",104.0,20.0,67.0,37.0
India,Uttarakhand,"Calendar Year (Jan - Dec), 2017",Darjeeling,Bose Institute Campus,54.0,13.0,19.0,15.0
India,Uttarakhand,"Calendar Year (Jan - Dec), 2017",Dehradun,"Clock Tower, PWD Guest House",38.0,26.0,32.0,28.0
India,Uttarakhand,"Calendar Year (Jan - Dec), 2017",Dehradun,Himalaya Drug Co. Near ISBT,31.0,27.0,32.0,30.0
India,Uttarakhand,"Calendar Year (Jan - Dec), 2017",Dehradun,"Raipur Road, Near parag Diary",33.0,27.0,32.0,29.0
India,Uttarakhand,"Calendar Year (Jan - Dec), 2017",Durgapur,"Bidhannagar, PCBL Club, Muchipara",103.0,21.0,46.0,31.0
India,Uttarakhand,"Calendar Year (Jan - Dec), 2017",Durgapur,"DMC Water Works, Angadpur",104.0,16.0,48.0,37.0
India,Uttarakhand,"Calendar Year (Jan - Dec), 2017",Durgapur,"Dew India Limited, PCBL More, Durgapur",104.0,17.0,49.0,37.0
India,Uttarakhand,"Calendar Year (Jan - Dec), 2017",Durgapur,"Kwality Hotel, Bhiringi More, Benachiti",104.0,16.0,48.0,37.0
India,Uttarakhand,"Calendar Year (Jan - Dec), 2017",Ghatal,"Annapurna Hotel, GhatalPanskura Bus Stand",104.0,31.0,60.0,38.0
India,Uttarakhand,"Calendar Year (Jan - Dec), 2017",Haldia,"Bhunia Raichak, Driver's Hut, Bhunia",104.0,33.0,60.0,42.0
India,Uttarakhand,"Calendar Year (Jan - Dec), 2017",Haldia,"Debhog Milan Viyapith, Bhabanipur",104.0,32.0,47.0,38.0
India,Uttarakhand,"Calendar Year (Jan - Dec), 2017",Haldia,"Supermarket Building, Durgachak",104.0,32.0,57.0,40.0
India,Uttarakhand,"Calendar Year (Jan - Dec), 2017",Haldia,WBIIDC Ruchi Soya Ind. Durgachak,104.0,33.0,55.0,40.0
India,Uttarakhand,"Calendar Year (Jan - Dec), 2017",Haridwar,"SIDCUL, Haridwar",71.0,22.0,30.0,26.0
India,Uttarakhand,"Calendar Year (Jan - Dec), 2017",Howrah,"CDS & Health Centre, Bator",104.0,31.0,98.0,59.0
India,Uttarakhand,"Calendar Year (Jan - Dec), 2017",Howrah,Howrah Municipal Corporation,104.0,40.0,136.0,74.0
India,Uttarakhand,"Calendar Year (Jan - Dec), 2017",Howrah,"Howrah Municipality School, Bandhaghat",104.0,40.0,129.0,70.0
